"drug","cell_line","tissue_type","ic50","source"
"17AAG","NCIH520","LUNG","0.09997908","CCLE"
"17AAG","NCIH522","LUNG","0.079639822","CCLE"
"17AAG","NCIH647","LUNG","0.146558329","CCLE"
"17AAG","NCIH650","LUNG","0.306331158","CCLE"
"17AAG","NCIH661","LUNG","8","CCLE"
"17AAG","NCIH727","LUNG","0.347080976","CCLE"
"17AAG","NCIH747","LARGE:INTESTINE","0.084120333","CCLE"
"17AAG","NCIH810","LUNG","8","CCLE"
"17AAG","NCIN87","STOMACH","0.006280354","CCLE"
"17AAG","NCO2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.117010742","CCLE"
"17AAG","NIHOVCAR3","OVARY","0.245931864","CCLE"
"17AAG","NUGC3","STOMACH","0.061240714","CCLE"
"17AAG","NUGC4","STOMACH","0.019910261","CCLE"
"17AAG","OC314","OVARY","0.180269763","CCLE"
"17AAG","OC315","OVARY","0.121878006","CCLE"
"17AAG","OC316","OVARY","0.164771095","CCLE"
"17AAG","OCIAML2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.088610291","CCLE"
"17AAG","OCIAML5","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.305264801","CCLE"
"17AAG","OCILY10","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.91939044","CCLE"
"17AAG","OCUM1","STOMACH","0.046381559","CCLE"
"17AAG","OE21","OESOPHAGUS","0.112160243","CCLE"
"17AAG","OE33","OESOPHAGUS","0.058549874","CCLE"
"17AAG","ONCODG1","OVARY","0.212087214","CCLE"
"17AAG","ONS76","CENTRAL:NERVOUS:SYSTEM","1.565893888","CCLE"
"17AAG","OPM2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.666394174","CCLE"
"17AAG","OV90","OVARY","0.018589249","CCLE"
"17AAG","OVCAR4","OVARY","0.459155321","CCLE"
"17AAG","OVCAR8","OVARY","0.146128953","CCLE"
"17AAG","OVMANA","OVARY","0.364703447","CCLE"
"17AAG","OVSAHO","OVARY","3.464982748","CCLE"
"17AAG","OVTOKO","OVARY","0.805820227","CCLE"
"17AAG","P12ICHIKAWA","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.594166398","CCLE"
"17AAG","P31FUJ","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.549713969","CCLE"
"17AAG","P3HR1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.020657063","CCLE"
"17AAG","PANC0203","PANCREAS","0.082458355","CCLE"
"17AAG","PANC0327","PANCREAS","0.068110488","CCLE"
"17AAG","PANC0403","PANCREAS","0.069349982","CCLE"
"17AAG","PANC1005","PANCREAS","0.086982444","CCLE"
"17AAG","PATU8902","PANCREAS","0.660462797","CCLE"
"17AAG","PC14","LUNG","0.101145402","CCLE"
"17AAG","PC3","PROSTATE","0.388138115","CCLE"
"17AAG","PFEIFFER","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.449662149","CCLE"
"17AAG","PK1","PANCREAS","0.078745671","CCLE"
"17AAG","PK45H","PANCREAS","0.134196922","CCLE"
"17AAG","PK59","PANCREAS","0.199349344","CCLE"
"17AAG","PL45","PANCREAS","0.05317352","CCLE"
"17AAG","PLCPRF5","LIVER","0.105967887","CCLE"
"17AAG","PSN1","PANCREAS","0.150998741","CCLE"
"17AAG","QGP1","PANCREAS","0.141021386","CCLE"
"17AAG","RAJI","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","2.661648512","CCLE"
"17AAG","RD","SOFT:TISSUE","0.117055684","CCLE"
"17AAG","REH","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.557084382","CCLE"
"17AAG","RERFGC1B","STOMACH","1.931385279","CCLE"
"17AAG","RERFLCAI","LUNG","0.101998895","CCLE"
"17AAG","RERFLCMS","LUNG","0.161490873","CCLE"
"17AAG","RKN","OVARY","0.574236274","CCLE"
"17AAG","RKO","LARGE:INTESTINE","0.076428831","CCLE"
"17AAG","RL952","ENDOMETRIUM","0.037230793","CCLE"
"17AAG","RPMI7951","SKIN","0.015701033","CCLE"
"17AAG","RPMI8402","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.701769114","CCLE"
"17AAG","RT112","URINARY:TRACT","0.063486055","CCLE"
"17AAG","RT4","URINARY:TRACT","0.058811292","CCLE"
"17AAG","RVH421","SKIN","0.074710794","CCLE"
"17AAG","SAOS2","BONE","0.215714768","CCLE"
"17AAG","SBC5","LUNG","0.141069055","CCLE"
"17AAG","SCABER","URINARY:TRACT","0.077901043","CCLE"
"17AAG","SCC25","UPPER:AERODIGESTIVE:TRACT","0.091868989","CCLE"
"17AAG","SCC9","UPPER:AERODIGESTIVE:TRACT","0.046046477","CCLE"
