"drug","cell_line","tissue_type","ic50","source"
"Sunitinib","BL70","BLOOD","1.12","COSMIC"
"Sunitinib","BOKU","UTERUS","169.15","COSMIC"
"Sunitinib","BT474","BREAST","640.55","COSMIC"
"Sunitinib","BV173","BLOOD","2.33","COSMIC"
"Sunitinib","C2BBe1","GI:TRACT","204.86","COSMIC"
"Sunitinib","C8166","BLOOD","948.63","COSMIC"
"Sunitinib","CA46","BLOOD","7.53","COSMIC"
"Sunitinib","CAL148","BREAST","1818.97","COSMIC"
"Sunitinib","Calu6","LUNG","317.28","COSMIC"
"Sunitinib","CAS1","CENTRAL:NERVOUS:SYSTEM","316.80","COSMIC"
"Sunitinib","CCRFCEM","BLOOD","14.30","COSMIC"
"Sunitinib","CESS","BLOOD","7.06","COSMIC"
"Sunitinib","CGTHW1","THYROID","0.03","COSMIC"
"Sunitinib","CHP126","CENTRAL:NERVOUS:SYSTEM","580.52","COSMIC"
"Sunitinib","CMK","BLOOD","1.95","COSMIC"
"Sunitinib","COLO320HSR","GI:TRACT","12.06","COSMIC"
"Sunitinib","COLO668","LUNG","30.47","COSMIC"
"Sunitinib","COLO684","UTERUS","89.22","COSMIC"
"Sunitinib","COLO800","SKIN","594.75","COSMIC"
"Sunitinib","COLO824","BREAST","268.72","COSMIC"
"Sunitinib","COLO829","SKIN","352.71","COSMIC"
"Sunitinib","CORL279","LUNG","9.33","COSMIC"
"Sunitinib","CORL88","LUNG","15.87","COSMIC"
"Sunitinib","CP66MEL","SKIN","521.37","COSMIC"
"Sunitinib","CP67MEL","SKIN","130.58","COSMIC"
"Sunitinib","CPCN","LUNG","8.24","COSMIC"
"Sunitinib","CTB1","BLOOD","13.62","COSMIC"
"Sunitinib","CTV1","BLOOD","1.72","COSMIC"
"Sunitinib","CW2","GI:TRACT","376.96","COSMIC"
"Sunitinib","D247MG","CENTRAL:NERVOUS:SYSTEM","102.34","COSMIC"
"Sunitinib","D263MG","CENTRAL:NERVOUS:SYSTEM","196.87","COSMIC"
"Sunitinib","D283MED","CENTRAL:NERVOUS:SYSTEM","16.70","COSMIC"
"Sunitinib","D336MG","CENTRAL:NERVOUS:SYSTEM","287.92","COSMIC"
"Sunitinib","D502MG","CENTRAL:NERVOUS:SYSTEM","963.88","COSMIC"
"Sunitinib","Daudi","BLOOD","8.18","COSMIC"
"Sunitinib","DB","BLOOD","306.24","COSMIC"
"Sunitinib","DG75","BLOOD","6.39","COSMIC"
"Sunitinib","DJM1","SKIN","90.31","COSMIC"
"Sunitinib","DMS114","LUNG","76.12","COSMIC"
"Sunitinib","DMS153","LUNG","251.38","COSMIC"
"Sunitinib","DMS79","LUNG","283.42","COSMIC"
"Sunitinib","DOHH2","BLOOD","2.33","COSMIC"
"Sunitinib","DSH1","BLADDER","497.60","COSMIC"
"Sunitinib","DU4475","BREAST","4.35","COSMIC"
"Sunitinib","EB2","BLOOD","643.81","COSMIC"
"Sunitinib","EB3","BLOOD","29.23","COSMIC"
"Sunitinib","ECC4","GI:TRACT","97.11","COSMIC"
"Sunitinib","ECGI10","UPPER:AERODIGESTIVE:TRACT","1906.80","COSMIC"
"Sunitinib","EHEB","BLOOD","33.76","COSMIC"
"Sunitinib","EKVX","LUNG","1039.34","COSMIC"
"Sunitinib","EM2","BLOOD","18.40","COSMIC"
"Sunitinib","EoL1cell","BLOOD","0.00","COSMIC"
"Sunitinib","ES1","BONE","10.23","COSMIC"
"Sunitinib","ES3","BONE","37.09","COSMIC"
"Sunitinib","ES4","BONE","2.80","COSMIC"
"Sunitinib","ES5","BONE","24.49","COSMIC"
"Sunitinib","ES6","BONE","0.98","COSMIC"
"Sunitinib","ES7","BONE","174.67","COSMIC"
"Sunitinib","ES8","BONE","143.91","COSMIC"
"Sunitinib","ETK1","GI:TRACT","1.28","COSMIC"
"Sunitinib","EVSAT","BREAST","16.90","COSMIC"
"Sunitinib","EW11","BONE","34.10","COSMIC"
"Sunitinib","EW12","BONE","1420.24","COSMIC"
"Sunitinib","EW13","BONE","54.90","COSMIC"
"Sunitinib","EW16","BONE","2.13","COSMIC"
"Sunitinib","EW18","BONE","1681.54","COSMIC"
"Sunitinib","EW1","BONE","4.66","COSMIC"
"Sunitinib","EW24","BONE","537.19","COSMIC"
"Sunitinib","EW3","BONE","6.40","COSMIC"
"Sunitinib","GAK","SKIN","63.84","COSMIC"
"Sunitinib","GB1","CENTRAL:NERVOUS:SYSTEM","0.71","COSMIC"
"Sunitinib","GCIY","GI:TRACT","385.44","COSMIC"
"Sunitinib","GDM1","BLOOD","21.74","COSMIC"
"Sunitinib","GI1","CENTRAL:NERVOUS:SYSTEM","8.15","COSMIC"
"Sunitinib","GIMEN","CENTRAL:NERVOUS:SYSTEM","759.61","COSMIC"
"Sunitinib","GOTO","CENTRAL:NERVOUS:SYSTEM","31.28","COSMIC"
"Sunitinib","GRST","BLOOD","10.15","COSMIC"
"Sunitinib","GT3TKB","GI:TRACT","6.57","COSMIC"
"Sunitinib","HAL01","BLOOD","2.05","COSMIC"
"Sunitinib","HC1","BLOOD","5.41","COSMIC"
"Sunitinib","HCC1187","BREAST","17.86","COSMIC"
"Sunitinib","HCC1599","BREAST","8.15","COSMIC"
"Sunitinib","HCC2157","BREAST","308.97","COSMIC"
"Sunitinib","HCC2218","BREAST","588.80","COSMIC"
"Sunitinib","HCE4","UPPER:AERODIGESTIVE:TRACT","3.77","COSMIC"
"Sunitinib","HCET","UPPER:AERODIGESTIVE:TRACT","545.67","COSMIC"
"Sunitinib","HDLM2","BLOOD","6.29","COSMIC"
"Sunitinib","HDMYZ","BLOOD","5.15","COSMIC"
"Sunitinib","HEL","BLOOD","3.47","COSMIC"
"Sunitinib","HH","BLOOD","4.19","COSMIC"
"Sunitinib","HL60","BLOOD","4.19","COSMIC"
"Sunitinib","HOP62","LUNG","4.32","COSMIC"
"Sunitinib","HT144","SKIN","28.40","COSMIC"
"Sunitinib","HT","BLOOD","68.58","COSMIC"
"Sunitinib","HUTU80","GI:TRACT","13.65","COSMIC"
"Sunitinib","IALM","LUNG","181.29","COSMIC"
"Sunitinib","IM9","BLOOD","1641.30","COSMIC"
"Sunitinib","IMR5","CENTRAL:NERVOUS:SYSTEM","7.50","COSMIC"
"Sunitinib","ISTMEL1","SKIN","12.77","COSMIC"
"Sunitinib","ISTMES1","LUNG","13.56","COSMIC"
"Sunitinib","ISTSL1","LUNG","7.97","COSMIC"
"Sunitinib","ISTSL2","LUNG","6.09","COSMIC"
"Sunitinib","JAR","OTHER","3.97","COSMIC"
"Sunitinib","JiyoyeP2003","BLOOD","26.01","COSMIC"
"Sunitinib","JRT3T35","BLOOD","6.05","COSMIC"
"Sunitinib","JVM2","BLOOD","28.00","COSMIC"
"Sunitinib","JVM3","BLOOD","1564.91","COSMIC"
"Sunitinib","K052","BLOOD","2.40","COSMIC"
"Sunitinib","K562","BLOOD","11.78","COSMIC"
"Sunitinib","K5","THYROID","12.20","COSMIC"
"Sunitinib","KALS1","CENTRAL:NERVOUS:SYSTEM","16.45","COSMIC"
"Sunitinib","KARPAS299","BLOOD","2.11","COSMIC"
"Sunitinib","KARPAS422","BLOOD","7.53","COSMIC"
"Sunitinib","KARPAS45","BLOOD","2.49","COSMIC"
"Sunitinib","KASUMI1","BLOOD","164.02","COSMIC"
"Sunitinib","KE37","BLOOD","4.04","COSMIC"
"Sunitinib","KG1","BLOOD","6.00","COSMIC"
"Sunitinib","KGN","OVARY","2.60","COSMIC"
"Sunitinib","KINGS1","CENTRAL:NERVOUS:SYSTEM","101.15","COSMIC"
"Sunitinib","KLE","UTERUS","29.31","COSMIC"
"Sunitinib","KM12","GI:TRACT","0.35","COSMIC"
"Sunitinib","KMH2","BLOOD","44.44","COSMIC"
"Sunitinib","KMOE2","BLOOD","8.14","COSMIC"
"Sunitinib","KMS12PE","BLOOD","22.06","COSMIC"
"Sunitinib","KNS42","CENTRAL:NERVOUS:SYSTEM","321.61","COSMIC"
"Sunitinib","KNS81FD","CENTRAL:NERVOUS:SYSTEM","833.07","COSMIC"
"Sunitinib","KPNRTBM1","CENTRAL:NERVOUS:SYSTEM","134.46","COSMIC"
"Sunitinib","KPNYS","CENTRAL:NERVOUS:SYSTEM","14.17","COSMIC"
"Sunitinib","KS1","CENTRAL:NERVOUS:SYSTEM","1.69","COSMIC"
"Sunitinib","KU812","BLOOD","6.66","COSMIC"
"Sunitinib","KURAMOCHI","OVARY","91.80","COSMIC"
"Sunitinib","KY821","BLOOD","2.79","COSMIC"
"Sunitinib","L363","BLOOD","4.78","COSMIC"
"Sunitinib","L428","BLOOD","17.86","COSMIC"
"Sunitinib","L540","BLOOD","65.70","COSMIC"
"Sunitinib","LAMA84","BLOOD","2.69","COSMIC"
"Sunitinib","LAN6","CENTRAL:NERVOUS:SYSTEM","14.13","COSMIC"
"Sunitinib","LB1047RCC","KIDNEY","1.81","COSMIC"
"Sunitinib","LB2241RCC","KIDNEY","234.53","COSMIC"
"Sunitinib","LB2518MEL","SKIN","518.77","COSMIC"
"Sunitinib","LB373MELD","SKIN","530.49","COSMIC"
"Sunitinib","LB647SCLC","LUNG","158.78","COSMIC"
"Sunitinib","LB771HNC","UPPER:AERODIGESTIVE:TRACT","327.23","COSMIC"
"Sunitinib","LB831BLC","BLADDER","32.04","COSMIC"
"Sunitinib","LB996RCC","KIDNEY","4.10","COSMIC"
"Sunitinib","LC1F","LUNG","42.87","COSMIC"
"Sunitinib","LC2ad","LUNG","1.11","COSMIC"
"Sunitinib","LC41","BLOOD","4.36","COSMIC"
"Sunitinib","LNCaPCloneFGC","OTHER","864.03","COSMIC"
"Sunitinib","LOUCY","BLOOD","11.90","COSMIC"
"Sunitinib","LOXIMVI","SKIN","16.12","COSMIC"
"Sunitinib","LP1","BLOOD","9.71","COSMIC"
"Sunitinib","LS1034","GI:TRACT","151.96","COSMIC"
"Sunitinib","LS123","GI:TRACT","9.61","COSMIC"
"Sunitinib","LS411N","GI:TRACT","370.70","COSMIC"
"Sunitinib","LS513","GI:TRACT","55.20","COSMIC"
"Sunitinib","LU134A","LUNG","51.71","COSMIC"
"Sunitinib","LU139","LUNG","260.34","COSMIC"
"Sunitinib","LU165","LUNG","394.30","COSMIC"
"Sunitinib","LU65","LUNG","189.91","COSMIC"
"Sunitinib","LXF289","LUNG","2.72","COSMIC"
"Sunitinib","MC116","BLOOD","4.41","COSMIC"
"Sunitinib","MCCAR","BLOOD","8.28","COSMIC"
"Sunitinib","MDAMB134VI","BREAST","1571.95","COSMIC"
"Sunitinib","MEG01","BLOOD","1.83","COSMIC"
"Sunitinib","MFHino","SOFT:TISSUE","148.32","COSMIC"
"Sunitinib","MFM223","BREAST","1266.02","COSMIC"
"Sunitinib","MHHCALL2","BLOOD","5.74","COSMIC"
"Sunitinib","MHHNB11","CENTRAL:NERVOUS:SYSTEM","20.36","COSMIC"
"Sunitinib","MHHPREB1","BLOOD","5.30","COSMIC"
"Sunitinib","ML2","BLOOD","2.63","COSMIC"
"Sunitinib","MLMA","BLOOD","16.85","COSMIC"
"Sunitinib","MMACSF","SKIN","6.08","COSMIC"
"Sunitinib","MN60","BLOOD","7.49","COSMIC"
"Sunitinib","MOLT16","BLOOD","0.63","COSMIC"
"Sunitinib","MOLT4","BLOOD","3.39","COSMIC"
"Sunitinib","MONOMAC6","BLOOD","0.03","COSMIC"
"Sunitinib","MoT","BLOOD","979.09","COSMIC"
"Sunitinib","MPP89","LUNG","41.58","COSMIC"
"Sunitinib","MRKnu1","BREAST","103.51","COSMIC"
"Sunitinib","MS1","LUNG","3.82","COSMIC"
"Sunitinib","MSTO211H","LUNG","31.53","COSMIC"
"Sunitinib","MV411","BLOOD","0.00","COSMIC"
"Sunitinib","MZ1PC","PANCREAS","7.26","COSMIC"
"Sunitinib","MZ2MEL","SKIN","15.10","COSMIC"
"Sunitinib","MZ7mel","SKIN","59.02","COSMIC"
"Sunitinib","NALM6","BLOOD","2.90","COSMIC"
"Sunitinib","NB10","CENTRAL:NERVOUS:SYSTEM","1566.48","COSMIC"
"Sunitinib","NB13","CENTRAL:NERVOUS:SYSTEM","9.73","COSMIC"
"Sunitinib","NB14","CENTRAL:NERVOUS:SYSTEM","10.85","COSMIC"
"Sunitinib","NB17","CENTRAL:NERVOUS:SYSTEM","59.79","COSMIC"
"Sunitinib","NB1","CENTRAL:NERVOUS:SYSTEM","1.96","COSMIC"
"Sunitinib","NB5","CENTRAL:NERVOUS:SYSTEM","79.65","COSMIC"
"Sunitinib","NB69","CENTRAL:NERVOUS:SYSTEM","285.26","COSMIC"
"Sunitinib","NB6","CENTRAL:NERVOUS:SYSTEM","99.87","COSMIC"
"Sunitinib","NB7","CENTRAL:NERVOUS:SYSTEM","27.64","COSMIC"
"Sunitinib","NCCIT","OTHER","8.66","COSMIC"
"Sunitinib","NCIH1092","LUNG","336.16","COSMIC"
"Sunitinib","NCIH1155","LUNG","128.60","COSMIC"
"Sunitinib","NCIH128","LUNG","12.97","COSMIC"
"Sunitinib","NCIH1304","LUNG","8.15","COSMIC"
"Sunitinib","NCIH1355","LUNG","7.41","COSMIC"
"Sunitinib","NCIH1395","LUNG","477.57","COSMIC"
"Sunitinib","NCIH1417","LUNG","1795.91","COSMIC"
"Sunitinib","NCIH1436","LUNG","601.61","COSMIC"
"Sunitinib","NCIH1522","LUNG","764.01","COSMIC"
"Sunitinib","NCIH1581","LUNG","17.93","COSMIC"
"Sunitinib","NCIH1648","LUNG","9.08","COSMIC"
"Sunitinib","NCIH1650","LUNG","28.72","COSMIC"
"Sunitinib","NCIH1694","LUNG","13.01","COSMIC"
"Sunitinib","NCIH1770","LUNG","14.42","COSMIC"
"Sunitinib","NCIH1838","LUNG","100.13","COSMIC"
"Sunitinib","NCIH187","LUNG","228.12","COSMIC"
"Sunitinib","NCIH1882","LUNG","17.83","COSMIC"
"Sunitinib","NCIH1963","LUNG","396.03","COSMIC"
"Sunitinib","NCIH2081","LUNG","224.47","COSMIC"
"Sunitinib","NCIH209","LUNG","8.06","COSMIC"
"Sunitinib","NCIH2107","LUNG","11.51","COSMIC"
"Sunitinib","NCIH2126","LUNG","103.46","COSMIC"
"Sunitinib","NCIH2141","LUNG","37.66","COSMIC"
"Sunitinib","NCIH2171","LUNG","121.64","COSMIC"
"Sunitinib","NCIH2196","LUNG","107.01","COSMIC"
"Sunitinib","NCIH226","LUNG","137.17","COSMIC"
"Sunitinib","NCIH23","LUNG","30.78","COSMIC"
"Sunitinib","NCIH322M","LUNG","114.66","COSMIC"
"Sunitinib","NCIH345","LUNG","290.05","COSMIC"
"Sunitinib","NCIH446","LUNG","27.22","COSMIC"
"Sunitinib","NCIH510A","LUNG","23.90","COSMIC"
"Sunitinib","NCIH524","LUNG","57.85","COSMIC"
"Sunitinib","NCIH526","LUNG","54.47","COSMIC"
"Sunitinib","NCIH64","LUNG","1213.38","COSMIC"
"Sunitinib","NCIH69","LUNG","197.56","COSMIC"
"Sunitinib","NCIH716","GI:TRACT","131.98","COSMIC"
"Sunitinib","NCIH719","LUNG","16.77","COSMIC"
"Sunitinib","NCIH720","LUNG","228.01","COSMIC"
"Sunitinib","NCIH747","GI:TRACT","28.62","COSMIC"
"Sunitinib","NCIH748","LUNG","470.39","COSMIC"
"Sunitinib","NCIH82","LUNG","7.33","COSMIC"
"Sunitinib","NCIH889","LUNG","344.89","COSMIC"
"Sunitinib","NCISNU16","GI:TRACT","1.46","COSMIC"
"Sunitinib","NCISNU1","GI:TRACT","13.24","COSMIC"
"Sunitinib","NCISNU5","GI:TRACT","1467.89","COSMIC"
"Sunitinib","NEC8","OTHER","12.59","COSMIC"
"Sunitinib","NH12","CENTRAL:NERVOUS:SYSTEM","43.43","COSMIC"
"Sunitinib","NKM1","BLOOD","0.10","COSMIC"
"Sunitinib","NMCG1","CENTRAL:NERVOUS:SYSTEM","26.91","COSMIC"
"Sunitinib","no10","CENTRAL:NERVOUS:SYSTEM","20.83","COSMIC"
"Sunitinib","no11","CENTRAL:NERVOUS:SYSTEM","7.73","COSMIC"
"Sunitinib","NOMO1","BLOOD","4.32","COSMIC"
"Sunitinib","NOS1","BONE","0.02","COSMIC"
"Sunitinib","NTERASclD1","OTHER","17.70","COSMIC"
"Sunitinib","OCIAML2","BLOOD","1.37","COSMIC"
"Sunitinib","OCUBM","BREAST","8.51","COSMIC"
"Sunitinib","OMC1","UTERUS","72.20","COSMIC"
"Sunitinib","ONS76","CENTRAL:NERVOUS:SYSTEM","9.74","COSMIC"
"Sunitinib","OPM2","BLOOD","3.05","COSMIC"
"Sunitinib","OSRC2","KIDNEY","4.85","COSMIC"
"Sunitinib","OVCAR4","OVARY","8.45","COSMIC"
"Sunitinib","P30OHK","BLOOD","149.07","COSMIC"
"Sunitinib","P31FUJ","BLOOD","1198.47","COSMIC"
"Sunitinib","PF382","BLOOD","3.43","COSMIC"
"Sunitinib","PSN1","PANCREAS","1.50","COSMIC"
"Sunitinib","QIMRWIL","BLOOD","3.62","COSMIC"
"Sunitinib","Raji","BLOOD","19.78","COSMIC"
"Sunitinib","Ramos2G64C10","BLOOD","11.18","COSMIC"
"Sunitinib","RCC10RGB","KIDNEY","360.21","COSMIC"
"Sunitinib","REH","BLOOD","12.55","COSMIC"
"Sunitinib","RH1","SOFT:TISSUE","184.35","COSMIC"
"Sunitinib","RKO","GI:TRACT","43.62","COSMIC"
"Sunitinib","RL952","UTERUS","2.11","COSMIC"
"Sunitinib","RL","BLOOD","871.82","COSMIC"
"Sunitinib","RPMI6666","BLOOD","3.53","COSMIC"
"Sunitinib","RPMI8226","BLOOD","7.46","COSMIC"
"Sunitinib","RPMI8402","BLOOD","2.33","COSMIC"
"Sunitinib","RPMI8866","BLOOD","74.25","COSMIC"
"Sunitinib","RS411","BLOOD","2.17","COSMIC"
"Sunitinib","RXF393","KIDNEY","11.40","COSMIC"
"Sunitinib","SBC1","LUNG","723.39","COSMIC"
"Sunitinib","SCC15","UPPER:AERODIGESTIVE:TRACT","125.19","COSMIC"
"Sunitinib","SCC3","BLOOD","2.82","COSMIC"
"Sunitinib","SCH","GI:TRACT","32.50","COSMIC"
"Sunitinib","SCLC21H","LUNG","1188.12","COSMIC"
"Sunitinib","SF126","CENTRAL:NERVOUS:SYSTEM","3.05","COSMIC"
"Sunitinib","SF268","CENTRAL:NERVOUS:SYSTEM","3.32","COSMIC"
"Sunitinib","SF539","CENTRAL:NERVOUS:SYSTEM","104.95","COSMIC"
"Sunitinib","SH4","SKIN","5.46","COSMIC"
"Sunitinib","SHP77","LUNG","50.66","COSMIC"
"Sunitinib","SIGM5","BLOOD","1.37","COSMIC"
"Sunitinib","SIMA","CENTRAL:NERVOUS:SYSTEM","311.14","COSMIC"
"Sunitinib","SJSA1","BONE","7.61","COSMIC"
"Sunitinib","SKLMS1","SOFT:TISSUE","3.82","COSMIC"
"Sunitinib","SKM1","BLOOD","112.05","COSMIC"
"Sunitinib","SKMEL1","SKIN","136.07","COSMIC"
"Sunitinib","SKMEL2","SKIN","42.15","COSMIC"
"Sunitinib","SKMM2","BLOOD","5.45","COSMIC"
"Sunitinib","SKNDZ","CENTRAL:NERVOUS:SYSTEM","4.65","COSMIC"
"Sunitinib","SKNEP1","KIDNEY","2.59","COSMIC"
"Sunitinib","SKNFI","CENTRAL:NERVOUS:SYSTEM","17.54","COSMIC"
"Sunitinib","SKPNDW","BONE","8.55","COSMIC"
"Sunitinib","SKUT1","SOFT:TISSUE","49.29","COSMIC"
"Sunitinib","SNB75","CENTRAL:NERVOUS:SYSTEM","125.53","COSMIC"
"Sunitinib","SNUC1","GI:TRACT","66.57","COSMIC"
"Sunitinib","SNUC2B","GI:TRACT","146.78","COSMIC"
"Sunitinib","SR","BLOOD","1.54","COSMIC"
"Sunitinib","ST486","BLOOD","6.31","COSMIC"
"Sunitinib","SUDHL1","BLOOD","4.78","COSMIC"
"Sunitinib","SUPT1","BLOOD","178.44","COSMIC"
"Sunitinib","SW684","SOFT:TISSUE","877.05","COSMIC"
"Sunitinib","SW872","SOFT:TISSUE","8.29","COSMIC"
"Sunitinib","SW954","UTERUS","6.24","COSMIC"
"Sunitinib","SW962","UTERUS","20.24","COSMIC"
"Sunitinib","SW982","SOFT:TISSUE","4.53","COSMIC"
"Sunitinib","TALL1","BLOOD","8.13","COSMIC"
"Sunitinib","TE10","UPPER:AERODIGESTIVE:TRACT","2.34","COSMIC"
"Sunitinib","TE11","UPPER:AERODIGESTIVE:TRACT","1.84","COSMIC"
"Sunitinib","TE12","UPPER:AERODIGESTIVE:TRACT","0.81","COSMIC"
"Sunitinib","TE15","UPPER:AERODIGESTIVE:TRACT","0.51","COSMIC"
"Sunitinib","TE1","UPPER:AERODIGESTIVE:TRACT","20.22","COSMIC"
"Sunitinib","TE441T","SOFT:TISSUE","93.66","COSMIC"
"Sunitinib","TE5","UPPER:AERODIGESTIVE:TRACT","174.51","COSMIC"
"Sunitinib","TE6","UPPER:AERODIGESTIVE:TRACT","106.16","COSMIC"
"Sunitinib","TE8","UPPER:AERODIGESTIVE:TRACT","2.36","COSMIC"
"Sunitinib","TE9","UPPER:AERODIGESTIVE:TRACT","36.63","COSMIC"
"Sunitinib","TGBC1TKB","GI:TRACT","11.91","COSMIC"
"Sunitinib","TGBC24TKB","GI:TRACT","158.44","COSMIC"
"Sunitinib","TGW","CENTRAL:NERVOUS:SYSTEM","13.22","COSMIC"
"Sunitinib","THP1","BLOOD","188.70","COSMIC"
"Sunitinib","TK10","KIDNEY","29.81","COSMIC"
"Sunitinib","TUR","BLOOD","1030.98","COSMIC"
"Sunitinib","U266","BLOOD","33.91","COSMIC"
"Sunitinib","U698M","BLOOD","186.77","COSMIC"
"Sunitinib","U87MG","CENTRAL:NERVOUS:SYSTEM","432.30","COSMIC"
"Sunitinib","UACC257","SKIN","107.40","COSMIC"
"Sunitinib","VAESBJ","SOFT:TISSUE","9.93","COSMIC"
"Sunitinib","WSUNHL","BLOOD","368.49","COSMIC"
"Sunitinib","YT","BLOOD","190.29","COSMIC"
"Temsirolimus","22RV1","PROSTATE","0.21","COSMIC"
"Temsirolimus","2313287","GI:TRACT","0.07","COSMIC"
"Temsirolimus","5637","BLADDER","0.63","COSMIC"
"Temsirolimus","639V","BLADDER","0.34","COSMIC"
"Temsirolimus","647V","BLADDER","0.33","COSMIC"
"Temsirolimus","697","BLOOD","0.00","COSMIC"
"Temsirolimus","769P","KIDNEY","0.40","COSMIC"
"Temsirolimus","7860","KIDNEY","0.05","COSMIC"
"Temsirolimus","8305C","THYROID","2.03","COSMIC"
"Temsirolimus","8505C","THYROID","0.33","COSMIC"
"Temsirolimus","8MGBA","CENTRAL:NERVOUS:SYSTEM","0.41","COSMIC"
"Temsirolimus","A101D","SKIN","0.05","COSMIC"
"Temsirolimus","A172","CENTRAL:NERVOUS:SYSTEM","1.16","COSMIC"
"Temsirolimus","A204","SOFT:TISSUE","0.04","COSMIC"
"Temsirolimus","A2058","SKIN","0.03","COSMIC"
"Temsirolimus","A2780","OVARY","0.01","COSMIC"
"Temsirolimus","A375","SKIN","124.93","COSMIC"
"Temsirolimus","A388","OTHER","7.57","COSMIC"
"Temsirolimus","A3KAW","GI:TRACT","0.01","COSMIC"
"Temsirolimus","A427","LUNG","0.18","COSMIC"
"Temsirolimus","A431","SKIN","0.66","COSMIC"
"Temsirolimus","A498","KIDNEY","0.44","COSMIC"
"Temsirolimus","A4Fuk","SKIN","0.08","COSMIC"
"Temsirolimus","A549","LUNG","0.02","COSMIC"
"Temsirolimus","A673","SOFT:TISSUE","0.16","COSMIC"
"Temsirolimus","A704","KIDNEY","3.67","COSMIC"
"Temsirolimus","ABC1","LUNG","0.32","COSMIC"
"Temsirolimus","ACHN","KIDNEY","0.28","COSMIC"
"Temsirolimus","ACN","CENTRAL:NERVOUS:SYSTEM","0.01","COSMIC"
"Temsirolimus","AGS","GI:TRACT","0.01","COSMIC"
"Temsirolimus","ALLPO","BLOOD","2.91","COSMIC"
"Temsirolimus","AM38","CENTRAL:NERVOUS:SYSTEM","0.41","COSMIC"
"Temsirolimus","AN3CA","UTERUS","0.06","COSMIC"
"Temsirolimus","AsPC1","PANCREAS","1.15","COSMIC"
"Temsirolimus","ATN1","BLOOD","1.90","COSMIC"
"Temsirolimus","AU565","BREAST","0.32","COSMIC"
"Temsirolimus","BALL1","BLOOD","0.79","COSMIC"
"Temsirolimus","BB30HNC","UPPER:AERODIGESTIVE:TRACT","3.82","COSMIC"
"Temsirolimus","BB49HNC","UPPER:AERODIGESTIVE:TRACT","0.48","COSMIC"
"Temsirolimus","BB65RCC","KIDNEY","0.01","COSMIC"
"Temsirolimus","BCPAP","THYROID","0.06","COSMIC"
"Temsirolimus","BE13","BLOOD","0.00","COSMIC"
"Temsirolimus","Becker","CENTRAL:NERVOUS:SYSTEM","0.08","COSMIC"
"Temsirolimus","BEN","LUNG","0.03","COSMIC"
"Temsirolimus","BFTC905","BLADDER","0.78","COSMIC"
"Temsirolimus","BFTC909","KIDNEY","0.27","COSMIC"
"Temsirolimus","BHT101","THYROID","0.20","COSMIC"
"Temsirolimus","BHY","UPPER:AERODIGESTIVE:TRACT","0.37","COSMIC"
"Temsirolimus","BPH1","OTHER","0.03","COSMIC"
"Temsirolimus","BT20","BREAST","1.00","COSMIC"
"Temsirolimus","BT474","BREAST","0.99","COSMIC"
"Temsirolimus","BT549","BREAST","1.36","COSMIC"
"Temsirolimus","BV173","BLOOD","0.04","COSMIC"
"Temsirolimus","BxPC3","PANCREAS","0.79","COSMIC"
"Temsirolimus","C2BBe1","GI:TRACT","0.59","COSMIC"
"Temsirolimus","C32","SKIN","0.05","COSMIC"
"Temsirolimus","C33A","UTERUS","0.39","COSMIC"
"Temsirolimus","C3A","LIVER","6.99","COSMIC"
"Temsirolimus","C8166","BLOOD","3.58","COSMIC"
"Temsirolimus","Ca922","UPPER:AERODIGESTIVE:TRACT","0.10","COSMIC"
"Temsirolimus","CAKI1","KIDNEY","0.07","COSMIC"
"Temsirolimus","CAL120","BREAST","1.04","COSMIC"
"Temsirolimus","CAL12T","LUNG","0.80","COSMIC"
"Temsirolimus","CAL27","UPPER:AERODIGESTIVE:TRACT","0.35","COSMIC"
"Temsirolimus","CAL33","UPPER:AERODIGESTIVE:TRACT","0.28","COSMIC"
"Temsirolimus","CAL39","UTERUS","0.04","COSMIC"
"Temsirolimus","CAL51","BREAST","0.43","COSMIC"
"Temsirolimus","CAL54","KIDNEY","0.12","COSMIC"
"Temsirolimus","CAL62","THYROID","0.12","COSMIC"
"Temsirolimus","CAL72","BONE","0.27","COSMIC"
"Temsirolimus","CAL851","BREAST","4.52","COSMIC"
"Temsirolimus","Calu3","LUNG","0.40","COSMIC"
"Temsirolimus","Calu6","LUNG","3.84","COSMIC"
"Temsirolimus","CAMA1","BREAST","0.00","COSMIC"
"Temsirolimus","CAPAN1","PANCREAS","0.88","COSMIC"
"Temsirolimus","Capan2","PANCREAS","9.95","COSMIC"
"Temsirolimus","CaR1","GI:TRACT","1.32","COSMIC"
"Temsirolimus","CAS1","CENTRAL:NERVOUS:SYSTEM","3.60","COSMIC"
"Temsirolimus","CaSki","UTERUS","1.18","COSMIC"
"Temsirolimus","CCRFCEM","BLOOD","18.37","COSMIC"
"Temsirolimus","CFPAC1","PANCREAS","1.72","COSMIC"
"Temsirolimus","CGTHW1","THYROID","0.01","COSMIC"
"Temsirolimus","ChaGoK1","LUNG","0.84","COSMIC"
"Temsirolimus","CHL1","SKIN","0.01","COSMIC"
"Temsirolimus","CHP212","CENTRAL:NERVOUS:SYSTEM","0.05","COSMIC"
"Temsirolimus","COLO320HSR","GI:TRACT","18.23","COSMIC"
"Temsirolimus","COLO668","LUNG","8.36","COSMIC"
"Temsirolimus","COLO678","GI:TRACT","7.09","COSMIC"
