"cell_line","drug","ref"
"769P#","17AAG","0.1517988"
"769P","17AAG","0.214"
"769P","681640","1.020"
"769P","A769662","40.762"
"769P","ABT263","3.879"
"769P","ABT888","298.139"
"769P#","AEW541","8"
"769P","AICAR","10362.005"
"769P","AKTinhibit","34.756"
"769P","AMG706","84.742"
"769P","AP24534","20.486"
"769P","AS601245","178.882"
"769P","ATRA","115.212"
"769P","AUY922","0.011"
"769P","Axitinib","81.722"
"769P#","AZD0530","1.07131004"
"769P","AZD2281","24.604"
"769P","AZD6244","3.728"
"769P#","AZD6244","8"
"769P","AZD6482","37.690"
"769P","AZD7762","0.224"
"769P","AZD8055","2.715"
"769P","BAY613606","0.980"
"769P","Bexarotene","147.278"
"769P","BIBW2992","2.285"
"769P","Bicalutami","63.440"
"769P","BID1870","28.165"
"769P","BIRB0796","173.144"
"769P","Bleomycin","0.124"
"769P","BMS754807","4.858"
"769P","Bosutinib","1.693"
"769P","Bryostatin","0.074"
"769P","BX795","16.761"
"769P","Camptothec","0.026"
"769P","CEP701","1.607"
"769P","CHIR99021","0.586"
"769P","CI1040","12.693"
"769P","Cisplatin","16.018"
"769P","Cytarabine","0.229"
"769P","DMOG","32996.473"
"769P","Docetaxel","0.159"
"769P","Doxorubici","0.021"
"769P","Elesclomol","0.010"
"769P","Embelin","8.416"
"769P","Epothilone","0.001"
"769P#","Erlotinib","2.32509732"
"769P","Etoposide","2.251"
"769P","FH535","6.688"
"769P","FTI277","47.631"
"769P","GDC0449","111.962"
"769P","GDC0941","3.812"
"769P","Gefitinib","1.278"
"769P","Gemcitabin","0.000"
"769P","GSK650394","4.865"
"769P","GW441756","89.287"
"769P","IPA3","58.852"
"769P#","Irinotecan","0.74081790"
"769P","JNK9L","0.536"
"769P","JNKInhibit","550.257"
"769P","KU55933","210.257"
"769P#","L685458","8"
"769P#","Lapatinib","1.05746114"
"769P#","LBW242","8"
"769P","Lenalidomi","200.993"
"769P","LFMA13","995.625"
"769P","Metformin","6734.641"
"769P","Methotrexa","0.046"
"769P","Midostauri","0.122"
"769P","MitomycinC","0.007"
"769P","MK2206","32.021"
"769P","Nilotinib","19.455"
"769P#","Nilotinib","8"
"769P","NSC87877","652.144"
"769P","NU7441","133.449"
"769P#","Nutlin3","5.59130191"
"769P","Nutlin3a","65.804"
"769P","NVPBEZ235","0.011"
"769P","ObatoclaxM","0.007"
"769P","OSI906","66.384"
"769P","PAC1","4.510"
"769P#","Paclitaxel","0.20456108"
"769P#","Panobinost","0.08745405"
"769P","Pazopanib","108.036"
"769P","PD0325901","1.195"
"769P#","PD0325901","1.45427167"
"769P","PD0332991","4.836"
"769P#","PD0332991","6.69962263"
"769P","PD173074","55.912"
"769P#","PF2341066","7.86299228"
"769P","PF562271","11.928"
"769P#","PHA665752","7.15041112"
"769P","PLX4720","103.194"
"769P#","PLX4720","8"
"769P","QS11","3.624"
"769P#","RAF265","1.06234574"
"769P","RDEA119","18.579"
"769P","RO3306","85.694"
"769P","SB216763","129.556"
"769P","SB590885","222.285"
"769P","Shikonin","0.689"
"769P","SL01011","27.505"
"769P#","Sorafenib","8"
"769P#","TAE684","6.65909338"
"769P","Temsirolim","0.395"
"769P","Thapsigarg","0.033"
"769P","Tipifarnib","4.174"
"769P#","TKI258","4.25859689"
"769P#","Topotecan","0.51258736"
"769P","Vinblastin","0.026"
"769P","Vinorelbin","0.017"
"769P","Vorinostat","5.836"
"769P","VX702","153.178"
"769P#","ZD6474","2.56703949"
"769P","ZM447439","34.270"
"7860","17AAG","0.155"
"7860","681640","156.871"
"7860","A769662","47.507"
"7860","ABT263","119.672"
"7860","ABT888","101.126"
"7860","AICAR","1056.050"
"7860","AKTinhibit","1.104"
"7860","AMG706","72.068"
"7860","AP24534","0.263"
"7860","AS601245","3.068"
"7860","ATRA","263.234"
"7860","AUY922","0.007"
"7860","Axitinib","36.869"
"7860","AZD2281","211.308"
"7860","AZD6244","10.342"
"7860","AZD6482","1.312"
"7860","AZD7762","0.389"
"7860","AZD8055","1.089"
"7860","BAY613606","1.359"
"7860","Bexarotene","20.411"
"7860","BIBW2992","3.053"
"7860","Bicalutami","70.238"
"7860","BID1870","7.980"
"7860","BIRB0796","432.561"
"7860","Bleomycin","0.081"
"7860","BMS754807","0.969"
"7860","Bosutinib","9.297"
"7860","Bryostatin","0.026"
"7860","BX795","5.429"
"7860","Camptothec","0.005"
"7860","CEP701","1.555"
"7860","CHIR99021","111.828"
"7860","CI1040","3.261"
"7860","Cisplatin","4.445"
"7860","Cytarabine","0.670"
"7860","DMOG","15867.002"
"7860","Docetaxel","0.008"
"7860","Doxorubici","0.009"
"7860","Elesclomol","0.013"
"7860","Embelin","8.585"
"7860","Epothilone","0.000"
"7860","Etoposide","0.493"
"7860","FH535","3.902"
"7860","FTI277","67.606"
"7860","GDC0449","600.174"
"7860","GDC0941","2.585"
"7860","Gefitinib","2.179"
"7860","Gemcitabin","0.000"
"7860","GSK650394","2.939"
"7860","GW441756","50.020"
"7860","IPA3","3.306"
"7860","JNK9L","0.229"
"7860","JNKInhibit","292.050"
"7860","KU55933","116.878"
"7860","Lenalidomi","228.395"
"7860","LFMA13","187.127"
"7860","Metformin","47384.399"
"7860","Methotrexa","0.644"
"7860","Midostauri","0.475"
"7860","MitomycinC","0.014"
"7860","MK2206","4.923"
"7860","Nilotinib","135.028"
"7860","NSC87877","5.556"
"7860","NU7441","7.056"
"7860","Nutlin3a","99.546"
"7860","NVPBEZ235","0.023"
"7860","ObatoclaxM","0.001"
"7860","OSI906","17.680"
"7860","PAC1","0.739"
"7860","Pazopanib","8.932"
"7860","PD0325901","0.419"
"7860","PD0332991","2.149"
"7860","PD173074","73.747"
"7860","PF562271","3.047"
"7860","PLX4720","45.121"
"7860","QS11","1.259"
"7860","RDEA119","2.363"
"7860","RO3306","43.128"
"7860","SB216763","390.386"
"7860","SB590885","86.010"
"7860","Shikonin","0.345"
"7860","SL01011","256.166"
"7860","Temsirolim","0.052"
"7860","Thapsigarg","0.000"
"7860","Tipifarnib","0.343"
"7860","Vinblastin","0.016"
"7860","Vinorelbin","0.003"
"7860","Vorinostat","4.765"
"7860","VX702","67.083"
"7860","ZM447439","10.761"
"786O#","17AAG","0.27953022"
"786O#","AEW541","7.61314773"
"786O#","AZD0530","8"
"786O#","AZD6244","8"
"786O#","Erlotinib","8"
