"gene","uni_id","pdb_id"
"AR","P10275","2AXA"
"AR","P10275","2HVC"
"AR","P10275","2OZ7"
"AR","P10275","2PIO"
"AR","P10275","2PIP"
"AR","P10275","2PIQ"
"AR","P10275","2PIR"
"AR","P10275","2PIT"
"AR","P10275","2PIU"
"AR","P10275","2PIV"
"AR","P10275","2PIW"
"AR","P10275","2PIX"
"AR","P10275","2PKL"
"AR","P10275","2PNU"
"AR","P10275","2Q7I"
"AR","P10275","2Q7J"
"AR","P10275","2Q7K"
"AR","P10275","2Q7L"
"AR","P10275","2YHD"
"AR","P10275","2YLO"
"AR","P10275","2YLP"
"AR","P10275","2YLQ"
"AR","P10275","2Z4J"
"AR","P10275","3B5R"
"AR","P10275","3B65"
"AR","P10275","3B66"
"AR","P10275","3B67"
"AR","P10275","3B68"
"AR","P10275","3BTR"
"AR","P10275","3L3X"
"AR","P10275","3L3Z"
"AR","P10275","3RLJ"
"AR","P10275","3RLL"
"AR","P10275","3ZQT"
"AURKA","O14965","1MQ4"
"AURKA","O14965","1MUO"
"AURKA","O14965","1OL5"
"AURKA","O14965","1OL6"
"AURKA","O14965","1OL7"
"AURKA","O14965","2BMC"
"AURKA","O14965","2C6D"
"AURKA","O14965","2C6E"
"AURKA","O14965","2DWB"
"AURKA","O14965","2J4Z"
"AURKA","O14965","2J50"
"AURKA","O14965","2NP8"
"AURKA","O14965","2W1C"
"AURKA","O14965","2W1D"
"AURKA","O14965","2W1E"
"AURKA","O14965","2W1F"
"AURKA","O14965","2W1G"
"AURKA","O14965","2WQE"
"AURKA","O14965","2WTV"
"AURKA","O14965","2WTW"
"AURKA","O14965","2X6D"
"AURKA","O14965","2X6E"
"AURKA","O14965","2X81"
"AURKA","O14965","2XNE"
"AURKA","O14965","2XNG"
"AURKA","O14965","2XRU"
"AURKA","O14965","3COH"
"AURKA","O14965","3E5A"
"AURKA","O14965","3EFW"
"AURKA","O14965","3FDN"
"AURKA","O14965","3H0Y"
"AURKA","O14965","3H0Z"
"AURKA","O14965","3H10"
"AURKA","O14965","3HA6"
"AURKA","O14965","3K5U"
"AURKA","O14965","3LAU"
"AURKA","O14965","3M11"
"AURKA","O14965","3MYG"
"AURKA","O14965","3NRM"
"AURKA","O14965","3O50"
"AURKA","O14965","3O51"
"AURKA","O14965","3P9J"
"AURKA","O14965","3QBN"
"AURKA","O14965","3R21"
"AURKA","O14965","3R22"
"AURKA","O14965","3UNZ"
"AURKA","O14965","3UO4"
"AURKA","O14965","3UO5"
"AURKA","O14965","3UO6"
"AURKA","O14965","3UOD"
"AURKA","O14965","3UOH"
"AURKA","O14965","3UOJ"
"AURKA","O14965","3UOK"
"AURKA","O14965","3UOL"
"AURKA","O14965","3UP2"
"AURKA","O14965","3UP7"
"AURKA","O14965","3VAP"
"AURKB","Q96GD4","4AF3"
"BCL2","P10415","1G5M"
"BCL2","P10415","1GJH"
"BCL2","P10415","1YSW"
"BCL2","P10415","2O21"
"BCL2","P10415","2O22"
"BCL2","P10415","2O2F"
"BCL2","P10415","2W3L"
"BCL2","P10415","2XA0"
"BMX","P51813","2EKX"
"BMX","P51813","2YS2"
"BMX","P51813","3SXR"
"BMX","P51813","3SXS"
"BRAF","P15056","1UWH"
"BRAF","P15056","1UWJ"
"BRAF","P15056","2FB8"
"BRAF","P15056","2L05"
"BRAF","P15056","3C4C"
"BRAF","P15056","3C4D"
"BRAF","P15056","3D4Q"
"BRAF","P15056","3IDP"
"BRAF","P15056","3II5"
"BRAF","P15056","3NY5"
"BRAF","P15056","3OG7"
"BRAF","P15056","3PPJ"
"BRAF","P15056","3PPK"
"BRAF","P15056","3PRF"
"BRAF","P15056","3PRI"
"BRAF","P15056","3PSB"
"BRAF","P15056","3PSD"
"BRAF","P15056","3Q4C"
"BRAF","P15056","3Q96"
"BRAF","P15056","3SKC"
"BRAF","P15056","3TV4"
"BRAF","P15056","3TV6"
"BRAF","P15056","4DBN"
"BTK","Q06187","1AWW"
"BTK","Q06187","1AWX"
"BTK","Q06187","1B55"
"BTK","Q06187","1BTK"
"BTK","Q06187","1BWN"
"BTK","Q06187","1K2P"
"BTK","Q06187","1QLY"
"BTK","Q06187","2GE9"
"BTK","Q06187","2Z0P"
"BTK","Q06187","3GEN"
"BTK","Q06187","3K54"
"BTK","Q06187","3OCS"
"BTK","Q06187","3OCT"
"BTK","Q06187","3P08"
"BTK","Q06187","3PIX"
"BTK","Q06187","3PIY"
"BTK","Q06187","3PIZ"
"BTK","Q06187","3PJ1"
"BTK","Q06187","3PJ2"
"BTK","Q06187","3PJ3"
"CASP3","P42574","1CP3"
"CASP3","P42574","1GFW"
"CASP3","P42574","1I3O"
"CASP3","P42574","1NME"
"CASP3","P42574","1NMQ"
"CASP3","P42574","1NMS"
"CASP3","P42574","1PAU"
"CASP3","P42574","1QX3"
"CASP3","P42574","1RE1"
"CASP3","P42574","1RHJ"
"CASP3","P42574","1RHK"
"CASP3","P42574","1RHM"
"CASP3","P42574","1RHQ"
"CASP3","P42574","1RHR"
"CASP3","P42574","1RHU"
"CASP3","P42574","2C1E"
"CASP3","P42574","2C2K"
"CASP3","P42574","2C2M"
"CASP3","P42574","2C2O"
"CASP3","P42574","2CDR"
"CASP3","P42574","2CJX"
"CASP3","P42574","2CJY"
"CASP3","P42574","2CNK"
"CASP3","P42574","2CNL"
"CASP3","P42574","2CNN"
"CASP3","P42574","2CNO"
"CASP3","P42574","2DKO"
"CASP3","P42574","2H5I"
"CASP3","P42574","2H5J"
"CASP3","P42574","2H65"
"CASP3","P42574","2J30"
"CASP3","P42574","2J31"
"CASP3","P42574","2J32"
"CASP3","P42574","2J33"
"CASP3","P42574","2XYG"
"CASP3","P42574","2XYH"
"CASP3","P42574","2XYP"
"CASP3","P42574","2XZD"
"CASP3","P42574","2XZT"
"CASP3","P42574","2Y0B"
"CASP3","P42574","3DEH"
"CASP3","P42574","3DEI"
"CASP3","P42574","3DEJ"
"CASP3","P42574","3DEK"
"CASP3","P42574","3EDQ"
"CASP3","P42574","3GJQ"
"CASP3","P42574","3GJR"
"CASP3","P42574","3GJS"
"CASP3","P42574","3GJT"
"CASP3","P42574","3H0E"
"CASP3","P42574","3ITN"
"CASP3","P42574","3KJF"
"CASP3","P42574","3PCX"
"CASP3","P42574","3PD0"
"CASP3","P42574","3PD1"
"CCR5","P51681","1ND8"
"CCR5","P51681","1NE0"
"CCR5","P51681","1OPN"
"CCR5","P51681","1OPT"
"CCR5","P51681","1OPW"
"CCR5","P51681","2L87"
"CCR5","P51681","2RLL"
"CCR5","P51681","2RRS"
"CDK1","P06493","1LC9"
"CDK2","P24941","1AQ1"
"CDK2","P24941","1B38"
"CDK2","P24941","1B39"
"CDK2","P24941","1BUH"
"CDK2","P24941","1CKP"
"CDK2","P24941","1DI8"
"CDK2","P24941","1DM2"
"CDK2","P24941","1E1V"
"CDK2","P24941","1E1X"
"CDK2","P24941","1E9H"
"CDK2","P24941","1F5Q"
"CDK2","P24941","1FIN"
"CDK2","P24941","1FQ1"
"CDK2","P24941","1FVT"
"CDK2","P24941","1FVV"
"CDK2","P24941","1G5S"
"CDK2","P24941","1GIH"
"CDK2","P24941","1GII"
"CDK2","P24941","1GIJ"
"CDK2","P24941","1GY3"
"CDK2","P24941","1GZ8"
"CDK2","P24941","1H00"
"CDK2","P24941","1H01"
"CDK2","P24941","1H07"
"CDK2","P24941","1H08"
"CDK2","P24941","1H0V"
"CDK2","P24941","1H0W"
"CDK2","P24941","1H1P"
"CDK2","P24941","1H1Q"
"CDK2","P24941","1H1R"
"CDK2","P24941","1H1S"
"CDK2","P24941","1H24"
"CDK2","P24941","1H25"
"CDK2","P24941","1H26"
"CDK2","P24941","1H27"
"CDK2","P24941","1H28"
"CDK2","P24941","1HCK"
"CDK2","P24941","1HCL"
"CDK2","P24941","1JST"
"CDK2","P24941","1JSU"
"CDK2","P24941","1JSV"
"CDK2","P24941","1JVP"
"CDK2","P24941","1KE5"
"CDK2","P24941","1KE6"
"CDK2","P24941","1KE7"
"CDK2","P24941","1KE8"
"CDK2","P24941","1KE9"
"CDK2","P24941","1OGU"
"CDK2","P24941","1OI9"
"CDK2","P24941","1OIQ"
"CDK2","P24941","1OIR"
"CDK2","P24941","1OIT"
"CDK2","P24941","1OIU"
"CDK2","P24941","1OIY"
"CDK2","P24941","1OKV"
"CDK2","P24941","1OKW"
"CDK2","P24941","1OL1"
"CDK2","P24941","1OL2"
"CDK2","P24941","1P2A"
"CDK2","P24941","1P5E"
"CDK2","P24941","1PF8"
"CDK2","P24941","1PKD"
"CDK2","P24941","1PW2"
"CDK2","P24941","1PXI"
"CDK2","P24941","1PXJ"
"CDK2","P24941","1PXK"
"CDK2","P24941","1PXL"
"CDK2","P24941","1PXM"
"CDK2","P24941","1PXN"
"CDK2","P24941","1PXO"
"CDK2","P24941","1PXP"
"CDK2","P24941","1PYE"
"CDK2","P24941","1QMZ"
"CDK2","P24941","1R78"
"CDK2","P24941","1URC"
"CDK2","P24941","1URW"
"CDK2","P24941","1V1K"
"CDK2","P24941","1VYW"
"CDK2","P24941","1VYZ"
"CDK2","P24941","1W0X"
"CDK2","P24941","1W8C"
"CDK2","P24941","1W98"
"CDK2","P24941","1WCC"
"CDK2","P24941","1Y8Y"
"CDK2","P24941","1Y91"
"CDK2","P24941","1YKR"
"CDK2","P24941","2A0C"
"CDK2","P24941","2A4L"
"CDK2","P24941","2B52"
"CDK2","P24941","2B53"
"CDK2","P24941","2B54"
"CDK2","P24941","2B55"
"CDK2","P24941","2BHE"
"CDK2","P24941","2BHH"
"CDK2","P24941","2BKZ"
"CDK2","P24941","2BPM"
"CDK2","P24941","2BTR"
"CDK2","P24941","2BTS"
"CDK2","P24941","2C4G"
"CDK2","P24941","2C5N"
"CDK2","P24941","2C5O"
"CDK2","P24941","2C5V"
"CDK2","P24941","2C5X"
"CDK2","P24941","2C5Y"
"CDK2","P24941","2C68"
"CDK2","P24941","2C69"
"CDK2","P24941","2C6I"
"CDK2","P24941","2C6K"
"CDK2","P24941","2C6L"
"CDK2","P24941","2C6M"
"CDK2","P24941","2C6O"
"CDK2","P24941","2C6T"
"CDK2","P24941","2CCH"
"CDK2","P24941","2CCI"
"CDK2","P24941","2CJM"
"CDK2","P24941","2CLX"
"CDK2","P24941","2DS1"
"CDK2","P24941","2DUV"
"CDK2","P24941","2EXM"
"CDK2","P24941","2FVD"
"CDK2","P24941","2G9X"
"CDK2","P24941","2HIC"
"CDK2","P24941","2I40"
"CDK2","P24941","2IW6"
"CDK2","P24941","2IW8"
"CDK2","P24941","2IW9"
"CDK2","P24941","2J9M"
"CDK2","P24941","2JGZ"
"CDK2","P24941","2R3F"
"CDK2","P24941","2R3G"
"CDK2","P24941","2R3H"
"CDK2","P24941","2R3I"
"CDK2","P24941","2R3J"
"CDK2","P24941","2R3K"
"CDK2","P24941","2R3L"
"CDK2","P24941","2R3M"
"CDK2","P24941","2R3N"
"CDK2","P24941","2R3O"
"CDK2","P24941","2R3P"
"CDK2","P24941","2R3Q"
"CDK2","P24941","2R3R"
"CDK2","P24941","2R64"
"CDK2","P24941","2UUE"
"CDK2","P24941","2UZB"
"CDK2","P24941","2UZD"
"CDK2","P24941","2UZE"
"CDK2","P24941","2UZL"
"CDK2","P24941","2UZN"
"CDK2","P24941","2UZO"
"CDK2","P24941","2V0D"
"CDK2","P24941","2V22"
"CDK2","P24941","2VTA"
"CDK2","P24941","2VTH"
"CDK2","P24941","2VTI"
"CDK2","P24941","2VTJ"
"CDK2","P24941","2VTL"
"CDK2","P24941","2VTM"
"CDK2","P24941","2VTN"
"CDK2","P24941","2VTO"
"CDK2","P24941","2VTP"
"CDK2","P24941","2VTQ"
"CDK2","P24941","2VTR"
"CDK2","P24941","2VTS"
"CDK2","P24941","2VTT"
"CDK2","P24941","2VU3"
"CDK2","P24941","2VV9"
"CDK2","P24941","2W05"
"CDK2","P24941","2W06"
"CDK2","P24941","2W17"
"CDK2","P24941","2W1H"
"CDK2","P24941","2WEV"
"CDK2","P24941","2WFY"
"CDK2","P24941","2WHB"
"CDK2","P24941","2WIH"
"CDK2","P24941","2WIP"
"CDK2","P24941","2WMA"
"CDK2","P24941","2WMB"
"CDK2","P24941","2WPA"
"CDK2","P24941","2WXV"
"CDK2","P24941","2X1N"
"CDK2","P24941","2XMY"
"CDK2","P24941","2XNB"
"CDK2","P24941","3BHT"
"CDK2","P24941","3BHU"
"CDK2","P24941","3BHV"
"CDK2","P24941","3DDP"
"CDK2","P24941","3DDQ"
"CDK2","P24941","3DOG"
"CDK2","P24941","3EID"
"CDK2","P24941","3EJ1"
"CDK2","P24941","3EOC"
"CDK2","P24941","3EZR"
"CDK2","P24941","3EZV"
"CDK2","P24941","3F5X"
"CDK2","P24941","3FZ1"
"CDK2","P24941","3IG7"
"CDK2","P24941","3IGG"
"CDK2","P24941","3LE6"
"CDK2","P24941","3LFN"
"CDK2","P24941","3LFQ"
"CDK2","P24941","3LFS"
"CDK2","P24941","3MY5"
"CDK2","P24941","3NS9"
