"drug_name","Pubchem_id","drug_targets","number_of_drug_targets","Chemical_formula","molecular_weight","polarizability","pI","volume","h_bond_acceptor","h_bond_donor","drug_class"
"PD0332991","5330286","CDK4, CDK6","2","C24H29N7O2","447.5328","49.06","10.09","406.94","8","2","Cell cycle"
"PD173074","1401","FGFR1, FGFR3, SRC","3","C28H41N7O3","523.6702","60.46","10.91","507.12","8","3","Receptor Tyrosine kinase, Angiogenesis"
"PF02341066","11496366","MET, ALK","2","C22H24Cl2FN5O","464.363","47.74","","389.91","5","1","Receptor Tyrosine kinase"
"PF4708671","NA","RPS6KB2","1","C19H23F3N6","392.4213","37.18","11.64","336.94","6","1","Ser Thr Kinase"
"PF562271","11713159","PTK2","1","C21H20F3N7O3S","507.489","46.72","8.96","399.63","8","3","Tyrosine kinase"
"PHA665752","10461815","MET","1","C32H34Cl2N4O4S","641.608","68.16","9.85","541.25","5","2","Receptor Tyrosine kinase"
"PLX4720","24180719","BRAF, ","1","C17H14ClF2N3O3S","413.826","38.12","4.42","316.23","4","2","Ser Thr Kinase"
"Pyrimethamine","4993","DHFR","1","C12H13ClN4","248.711","25.79","12.5","213.77","4","2","Metabolism"
"QS11","NA","ARFGAP1, ","1","C35H31N5O2","553.6529","60.41","8.25","497.91","5","2","Apoptosis"
"RAF265","11656518","BRAFKDR","1","C24H18F6N6O","520.4297","46.37","8.99","397.28","6","2","Ser Thr Kinase, Angiogenesis"
"Rapamycin","5284616","MTOR","1","C51H79NO13","914.1719","100.08","3.7","901.06","12","3","Ser Thr Kinase"
"RDEA119","44182295","MAP2K1, MAP2K2","2","C19H20F3IN2O5S","572.337","46.57","2.25","384.57","6","4","Ser Thr Kinase"
"RO3306","44450571","CDK1","1","C18H13N3OS2","351.445","37.26","12.64","286.31","4","1","Ser Thr Kinase, Cell cycle"
"Roscovitine","160355","CDK2","1","C19H26N6O","354.4493","40.43","10.19","334.81","6","3","Cell cycle"
"Salubrinal","5717801","EIF2S1","1","C21H17Cl3N4OS","479.81","46.48","6.29","376.99","2","3","Stress pathway, Apoptosis"
"SB216763","176158","GSK3A, GSK3B","2","C21H16Cl2N2","367.271","38.24","12.39","305.13","1","1","Ser Thr Kinase"
"SB590885","11316960","BRAF","1","C27H27N5O2","453.5356","52.25","9.6","406.94","6","2","Ser Thr Kinase"
"Shikonin","5208","CCR5","1","C16H16O5","288.2952","28.97","3.25","255.23","5","3",""
"SL01011","14825856","RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6","6","C25H24O12","516.4509","49.94","1.25","430.91","10","4","Ser Thr Kinase"
"Sorafenib","216239","PDGFRA, PDGFRB, KDR, KIT, FLT3","5","C21H16ClF3N4O3","464.825","41.11","6.79","364","3","3","Ser Thr Kinase"
"STritylLcysteine","76044","KIF11","1","C22H21NO2S","363.473","39.42","5.74","333.89","3","2","Cytoskelton"
"Sunitinib","5329102","PDGFRA, PDGFRB, KDR, KIT, FLT3","5","C22H27FN4O2","398.4738","44.32","10.25","364.76","3","3","Receptor Tyrosine kinase"
"Temsirolimus","6918289","MTOR","1","C56H87NO16","1030.2871","111.39","3.83","1005.82","14","4","Cell cycle, Angiogenesis"
"Thapsigargin","446378","ATP2A3","1","C34H50O12","650.7536","69.58","3.54","613.53","7","2","Cytoskelton"
"Tipifarnib","159324","FNTA","1","C27H22Cl2N4O","489.396","50.16","","412.66","3","1","Ser Thr Kinase"
"TKI258","44150621","EGFR, FGFR1, PDGFRB, FLT1, KDR","5","C21H21FN6O","392.4294","42.38","8.28","338.2","5","2","Receptor Tyrosine kinase"
"Topotecan","60700","TOP1","1","C24H25N3O4","419.473","45.79","8.91","372.27","6","2","DNA repair"
"TW37","11455910","BCL2","1","C33H35NO6S","573.699","62.9","2.06","523.52","6","4","Apoptosis"
"Vinblastine","6710780","Microtubules","1","C46H58N4O9","810.9741","88.55","9.93","761.93","9","3","Cytoskelton, Cell cycle"
"Vinorelbine","60780","Microtubules","1","C45H54N4O8","778.9323","85.08","9.84","716.82","8","2","Mitosis"
"Vorinostat","5311","HDAC1, HDAC2, HDAC3, HDAC6, HDAC8","5","C14H20N2O3","264.3202","28.39","2.69","253.81","3","3","Chromatin"
"VX680","5494449","AURKA, AURKB, AURKC, FLT3, ABL1, JAK2","6","C23H28N8OS","464.586","51.43","9.62","410.37","7","3","Cell cycle"
"VX702","10341154","MAPK11, MAPK12, MAPK13, MAPK14","4","C19H12F4N4O2","404.3178","34.7","6.49","311.46","3","2","Ser Thr Kinase, Apoptosis"
"WH4023","11844351","SRC, ABL1","2","C32H36N6O4","568.666","62.01","11.16","523.24","9","1","Tyrosine kinase"
"WZ184","49821040","BMX","1","C23H28N8O2","448.5208","47.68","7.61","405.35","7","3","Tyrosine kinase"
"XMD885","46844147","MAPK7","1","C25H29N7O2","459.5435","51.17","10.68","418.77","8","1","Ser Thr Kinase"
"ZD6474","3081361","RET, VEGFR2, EGFR","3","C22H24BrFN4O2","475.354","46.74","11.47","378.07","6","1","Receptor Tyrosine kinase, Angiogenesis"
"ZLLNleCHO","16760646","PSENEN","1","C26H41N3O5","475.6208","53.31","4.63","475.14","4","3","Cell cycle"
"ZM447439","9914412","AURKB","1","C29H31N5O4","513.5875","57.58","9.61","465.27","8","2","Ser Thr Kinase"
