"gene","cell_line"
"ABL1","SNU668"
"ABL1","SNU685"
"ABL1","SNU719"
"ABL1","SNU761"
"ABL1","SNU8"
"ABL1","SNU81"
"ABL1","SNU840"
"ABL1","SNU869"
"ABL1","SNU878"
"ABL1","SNU886"
"ABL1","SNU899"
"ABL1","SNUC2A"
"ABL1","SNUC4"
"ABL1","SNUC5"
"ABL1","SQ1"
"ABL1","SR786"
"ABL1","ST486"
"ABL1","SU8686"
"ABL1","SUDHL1"
"ABL1","SUDHL10"
"ABL1","SUDHL4"
"ABL1","SUDHL5"
"ABL1","SUDHL6"
"ABL1","SUDHL8"
"ABL1","SUPB15"
"ABL1","SUPHD1"
"ABL1","SUPM2"
"ABL1","SUPT11"
"ABL1","SW1088"
"ABL1","SW1116"
"ABL1","SW1271"
"ABL1","SW1353"
"ABL1","SW1417"
"ABL1","SW1463"
"ABL1","SW1573"
"ABL1","SW1710"
"ABL1","SW1783"
"ABL1","SW1990"
"ABL1","SW403"
"ABL1","SW48"
"ABL1","SW480"
"ABL1","SW579"
"ABL1","SW620"
"ABL1","SW780"
"ABL1","SW837"
"ABL1","SW900"
"ABL1","SW948"
"ABL1","T173"
"ABL1","T3M10"
"ABL1","T3M4"
"ABL1","T47D"
"ABL1","T84"
"ABL1","T98G"
"ABL1","TC71"
"ABL1","TCCPAN2"
"ABL1","TE1"
"ABL1","TE10"
"ABL1","TE11"
"ABL1","TE125T"
"ABL1","TE14"
"ABL1","TE159T"
"ABL1","TE4"
"ABL1","TE441T"
"ABL1","TE5"
"ABL1","TE6"
"ABL1","TE617T"
"ABL1","TE8"
"ABL1","TE9"
"ABL1","TEN"
"ABL1","TGBC11TKB"
"ABL1","THP1"
"ABL1","TM31"
"ABL1","TO175T"
"ABL1","TOLEDO"
"ABL1","TOV21G"
"ABL1","TT"
"ABL1","TT2609C02"
"ABL1","TUHR10TKB"
"ABL1","TUHR14TKB"
"ABL1","TUHR4TKB"
"ABL1","TYKNU"
"ABL1","U138MG"
"ABL1","U266B1"
"ABL1","U2OS"
"ABL1","U87MG"
"ABL1","U937"
"ABL1","UACC257"
"ABL1","UACC62"
"ABL1","UACC812"
"ABL1","UACC893"
"ABL1","UBLC1"
"ABL1","UMUC1"
"ABL1","UMUC3"
"ABL1","UT7"
"ABL1","VCAP"
"ABL1","VMCUB1"
"ABL1","VMRCLCD"
"ABL1","VMRCLCP"
"ABL1","VMRCRCW"
"ABL1","VMRCRCZ"
"ABL1","WM115"
"ABL1","WM1799"
"ABL1","WM2664"
"ABL1","WM793"
"ABL1","WM88"
"ABL1","WM983B"
"ABL1","WSUDLCL2"
"ABL1","YAPC"
"ABL1","YD10B"
"ABL1","YD15"
"ABL1","YD38"
"ABL1","YD8"
"ABL1","YH13"
"ABL1","YKG1"
"ABL1","ZR751"
"ABL1","ZR7530"
"ABL2","22RV1"
"ABL2","253J"
"ABL2","253JBV"
"ABL2","42MGBA"
"ABL2","5637"
"ABL2","59M"
"ABL2","639V"
"ABL2","647V"
"ABL2","697"
"ABL2","769P"
"ABL2","786O"
"ABL2","8305C"
"ABL2","8505C"
"ABL2","8MGBA"
"ABL2","A101D"
"ABL2","A172"
"ABL2","A204"
"ABL2","A2058"
"ABL2","A253"
"ABL2","A2780"
"ABL2","A375"
"ABL2","A3KAW"
"ABL2","A498"
"ABL2","A549"
"ABL2","A673"
"ABL2","A704"
"ABL2","ABC1"
"ABL2","ACCMESO1"
"ABL2","ACHN"
"ABL2","AGS"
"ABL2","ALEXANDERCELLS"
"ABL2","ALLSIL"
"ABL2","AM38"
"ABL2","AML193"
"ABL2","AMO1"
"ABL2","ASPC1"
"ABL2","AU565"
"ABL2","BCP1"
"ABL2","BCPAP"
"ABL2","BECKER"
"ABL2","BEN"
"ABL2","BFTC905"
"ABL2","BFTC909"
"ABL2","BHY"
"ABL2","BICR16"
"ABL2","BICR18"
"ABL2","BICR31"
"ABL2","BICR56"
"ABL2","BICR6"
"ABL2","BL41"
"ABL2","BL70"
"ABL2","BT20"
"ABL2","BT474"
"ABL2","BT549"
"ABL2","BV173"
"ABL2","BXPC3"
"ABL2","C2BBE1"
"ABL2","C32"
"ABL2","CA46"
"ABL2","CADOES1"
"ABL2","CAKI1"
"ABL2","CAL120"
"ABL2","CAL12T"
"ABL2","CAL148"
"ABL2","CAL27"
"ABL2","CAL29"
"ABL2","CAL33"
"ABL2","CAL54"
"ABL2","CAL62"
"ABL2","CAL78"
"ABL2","CAL851"
"ABL2","CALU3"
"ABL2","CALU6"
"ABL2","CAMA1"
"ABL2","CAOV3"
"ABL2","CAOV4"
"ABL2","CAPAN1"
