"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"GI1","CENTRAL NERVOUS SYSTEM","20","32"
"GIMEN","CENTRAL NERVOUS SYSTEM","138","221"
"GLC82","LUNG","24","38"
"GMS10","CENTRAL NERVOUS SYSTEM","122","195"
"GMS10","CENTRAL NERVOUS SYSTEM","24","38"
"GOTO","CENTRAL NERVOUS SYSTEM","138","221"
"GP5d","GI TRACT","98","157"
"GRANTA519","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"GRST","BLOOD","129","206"
"GT3TKB","GI TRACT","138","221"
"H4","CENTRAL NERVOUS SYSTEM","121","194"
"H4","CENTRAL NERVOUS SYSTEM","23","37"
"H9","BLOOD","40","64"
"HAL01","BLOOD","129","206"
"HARA","LUNG","21","34"
"HC1","BLOOD","104","166"
"HCC1143","BREAST","37","59"
"HCC1187","BREAST","157","251"
"HCC1187","BREAST","23","37"
"HCC1395","BREAST","118","189"
"HCC1395","BREAST","20","32"
"HCC1419","BREAST","98","157"
"HCC15","LUNG","23","37"
"HCC1569","BREAST","122","195"
"HCC1569","BREAST","24","38"
"HCC1599","BREAST","77","123"
"HCC1806","BREAST","121","194"
"HCC1806","BREAST","23","37"
"HCC1937","BREAST","98","157"
"HCC1954","BREAST","121","194"
"HCC1954","BREAST","23","37"
"HCC2157","BREAST","102","163"
"HCC2218","BREAST","121","194"
"HCC2935","LUNG","24","38"
"HCC2998","GI TRACT","113","181"
"HCC38","BREAST","98","157"
"HCC4006","LUNG","24","38"
"HCC44","LUNG","21","34"
"HCC56","LARGE INTESTINE","22","35"
"HCC70","BREAST","122","195"
"HCC70","BREAST","24","38"
"HCC78","LUNG","23","37"
"HCC827","LUNG","20","32"
"HCE4","UPPER AERODIGESTIVE TRACT","123","197"
"HCET","UPPER AERODIGESTIVE TRACT","138","221"
"HCT116","GI TRACT","122","195"
"HCT116","LARGE INTESTINE","24","38"
"HCT15","GI TRACT","101","162"
"HCT15","LARGE INTESTINE","24","38"
"HDLM2","BLOOD","129","206"
"HDMYZ","BLOOD","156","250"
"HDMYZ","HAEMATOPOIETIC AND LYMPHOID TISSUE","19","30"
"HDQP1","BREAST","24","38"
"HEC1","UTERUS","98","157"
"HEC151","ENDOMETRIUM","24","38"
"HEC1A","ENDOMETRIUM","23","37"
"HEC1B","ENDOMETRIUM","24","38"
"HEC251","ENDOMETRIUM","24","38"
"HEC265","ENDOMETRIUM","24","38"
"HEC59","ENDOMETRIUM","24","38"
"HEC6","ENDOMETRIUM","24","38"
"HEL","BLOOD","138","221"
"HEL9217","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"HEMCSS","BONE","61","98"
"HEP3B217","LIVER","24","38"
"HEPG2","LIVER","24","38"
"HEYA8","OVARY","22","35"
"HGC27","GI TRACT","122","195"
"HGC27","STOMACH","24","38"
"HH","BLOOD","152","243"
"HH","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"HL60","BLOOD","129","206"
"HLE","LIVER","122","195"
"HLE","LIVER","24","38"
"HLF","LIVER","24","38"
"HMC18","BREAST","24","38"
"HMCB","SKIN","24","38"
"HMVII","SKIN","89","142"
"HN","UPPER AERODIGESTIVE TRACT","98","157"
"HO1N1","UPPER AERODIGESTIVE TRACT","98","157"
"HOP62","LUNG","118","189"
"HOP92","LUNG","98","157"
"HOS","BONE","122","195"
"HOS","BONE","24","38"
"HPAC","PANCREAS","24","38"
"HPAFII","PANCREAS","119","190"
"HPAFII","PANCREAS","21","34"
"HS229T","LUNG","23","37"
"HS294T","SKIN","24","38"
"HS578T","BREAST","23","37"
"HS683","CENTRAL NERVOUS SYSTEM","24","38"
"HS695T","SKIN","24","38"
"HS729","SOFT TISSUE","21","34"
"HS739T","BREAST","24","38"
"HS746T","STOMACH","23","37"
"HS766T","PANCREAS","24","38"
"HS840T","UPPER AERODIGESTIVE TRACT","24","38"
"HS852T","SKIN","24","38"
"HS895T","SKIN","23","37"
"HS936T","SKIN","24","38"
"HS939T","SKIN","23","37"
"HS944T","SKIN","24","38"
"HSC2","UPPER AERODIGESTIVE TRACT","122","195"
"HSC2","UPPER AERODIGESTIVE TRACT","24","38"
"HSC3","UPPER AERODIGESTIVE TRACT","98","157"
"HSC4","UPPER AERODIGESTIVE TRACT","73","117"
"HT","BLOOD","152","243"
"HT","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"HT1080","SOFT TISSUE","120","192"
"HT1080","SOFT TISSUE","22","35"
"HT1197","BLADDER","122","195"
"HT1197","URINARY TRACT","24","38"
"HT1376","BLADDER","122","195"
"HT1376","URINARY TRACT","24","38"
"HT144","SKIN","162","259"
"HT144","SKIN","24","38"
"HT29","GI TRACT","122","195"
"HT29","LARGE INTESTINE","24","38"
"HT3","UTERUS","97","155"
"HT55","GI TRACT","94","150"
"HTCC3","THYROID","98","157"
"HUCCT1","BILIARY TRACT","24","38"
"HUH1","LIVER","24","38"
"HUPT3","PANCREAS","24","38"
"HUPT4","PANCREAS","23","37"
"HUT78","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"HUTU80","GI TRACT","117","187"
"Hs578T","BREAST","97","155"
"HuCCT1","GI TRACT","98","157"
"HuH7","OTHER","98","157"
"HuO3N1","BONE","98","157"
"HuO9","BONE","74","118"
"HuPT3","PANCREAS","98","157"
"HuPT4","PANCREAS","98","157"
"IALM","LUNG","147","235"
"IALM","LUNG","24","38"
"IGR1","SKIN","98","157"
"IGR37","SKIN","24","38"
"IGR39","SKIN","24","38"
"IGROV1","OVARY","117","187"
"IGROV1","OVARY","22","35"
"IM9","BLOOD","77","123"
"IM95","STOMACH","23","37"
"IMR32","AUTONOMIC GANGLIA","23","37"
"IMR5","CENTRAL NERVOUS SYSTEM","77","123"
"IPC298","SKIN","61","98"
"IPC298","SKIN","24","38"
"ISHIKAWAHERAKLIO02ER","ENDOMETRIUM","20","32"
"ISTMEL1","SKIN","138","221"
"ISTMES1","LUNG","162","259"
"ISTMES1","PLEURA","24","38"
"ISTMES2","PLEURA","24","38"
"ISTSL1","LUNG","138","221"
"ISTSL2","LUNG","77","123"
"J82","BLADDER","116","186"
"J82","URINARY TRACT","22","35"
"JAR","OTHER","137","219"
"JEG3","OTHER","98","157"
"JHH2","LIVER","24","38"
"JHH4","LIVER","24","38"
"JHH5","LIVER","21","34"
"JHH6","LIVER","24","38"
"JHH7","LIVER","19","30"
"JHOS2","OVARY","23","37"
"JHOS4","OVARY","23","37"
"JHUEM2","ENDOMETRIUM","20","32"
"JM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"JMSU1","URINARY TRACT","24","38"
"JRT3T35","BLOOD","129","206"
"JURKAT","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"JVM2","BLOOD","125","200"
"JVM3","BLOOD","153","245"
"JVM3","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"JiyoyeP2003","BLOOD","77","123"
"K029AX","SKIN","24","38"
"K052","BLOOD","71","114"
"K5","THYROID","129","206"
"K562","BLOOD","129","206"
"KALS1","CENTRAL NERVOUS SYSTEM","158","253"
"KALS1","CENTRAL NERVOUS SYSTEM","24","38"
"KARPAS299","BLOOD","152","243"
"KARPAS299","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"KARPAS422","BLOOD","101","162"
"KARPAS422","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KARPAS45","BLOOD","124","198"
"KARPAS620","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KASUMI1","BLOOD","74","118"
"KASUMI2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KCIMOH1","PANCREAS","20","32"
"KCL22","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KE37","BLOOD","129","206"
"KE39","STOMACH","23","37"
"KE97","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KELLY","AUTONOMIC GANGLIA","20","32"
"KG1","BLOOD","153","245"
"KG1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KGN","OVARY","138","221"
"KHM1B","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KINGS1","CENTRAL NERVOUS SYSTEM","138","221"
"KLE","ENDOMETRIUM","147","235"
"KLE","UTERUS","24","38"
"KM12","GI TRACT","138","221"
"KMBC2","URINARY TRACT","24","38"
"KMH2","BLOOD","129","206"
"KMM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KMOE2","BLOOD","104","166"
"KMRC1","KIDNEY","24","38"
"KMRC2","KIDNEY","24","38"
"KMS11","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KMS12BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"KMS12PE","BLOOD","77","123"
"KMS26","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KMS34","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KNS42","CENTRAL NERVOUS SYSTEM","162","259"
"KNS42","CENTRAL NERVOUS SYSTEM","24","38"
"KNS60","CENTRAL NERVOUS SYSTEM","24","38"
"KNS62","LUNG","81","130"
"KNS62","LUNG","21","34"
"KNS81","CENTRAL NERVOUS SYSTEM","24","38"
"KNS81FD","CENTRAL NERVOUS SYSTEM","138","221"
"KO52","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KOSC2","UPPER AERODIGESTIVE TRACT","98","157"
"KP1N","PANCREAS","24","38"
"KP1NL","PANCREAS","24","38"
"KP2","PANCREAS","22","35"
"KP3","PANCREAS","24","38"
"KP4","PANCREAS","118","189"
"KP4","PANCREAS","24","38"
"KPNRTBM1","CENTRAL NERVOUS SYSTEM","25","40"
"KPNSI9S","AUTONOMIC GANGLIA","24","38"
"KPNYN","CENTRAL NERVOUS SYSTEM","94","150"
"KPNYS","CENTRAL NERVOUS SYSTEM","129","206"
"KS1","CENTRAL NERVOUS SYSTEM","138","221"
"KU1919","BLADDER","98","157"
"KU812","BLOOD","145","232"
"KU812","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"KURAMOCHI","OVARY","162","259"
"KURAMOCHI","OVARY","24","38"
"KY821","BLOOD","120","192"
"KYM1","SOFT TISSUE","20","32"
"KYSE140","OESOPHAGUS","117","187"
"KYSE140","UPPER AERODIGESTIVE TRACT","19","30"
"KYSE150","OESOPHAGUS","119","190"
"KYSE150","UPPER AERODIGESTIVE TRACT","21","34"
"KYSE180","OESOPHAGUS","117","187"
"KYSE180","UPPER AERODIGESTIVE TRACT","19","30"
"KYSE270","UPPER AERODIGESTIVE TRACT","98","157"
"KYSE30","OESOPHAGUS","24","38"
"KYSE410","OESOPHAGUS","122","195"
"KYSE410","UPPER AERODIGESTIVE TRACT","24","38"
"KYSE450","OESOPHAGUS","117","187"
"KYSE450","UPPER AERODIGESTIVE TRACT","20","32"
"KYSE510","OESOPHAGUS","118","189"
"KYSE510","UPPER AERODIGESTIVE TRACT","20","32"
"KYSE520","OESOPHAGUS","122","195"
"KYSE520","UPPER AERODIGESTIVE TRACT","24","38"
"KYSE70","OESOPHAGUS","117","187"
"KYSE70","UPPER AERODIGESTIVE TRACT","19","30"
"L33","PANCREAS","24","38"
"L363","BLOOD","153","245"
"L363","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"L428","BLOOD","153","245"
"L428","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"L540","BLOOD","77","123"
"LAMA84","BLOOD","129","206"
"LAN6","CENTRAL NERVOUS SYSTEM","138","221"
"LB1047RCC","KIDNEY","137","219"
"LB2241RCC","KIDNEY","138","221"
"LB2518MEL","SKIN","138","221"
"LB373MELD","SKIN","118","189"
"LB647SCLC","LUNG","77","123"
"LB771HNC","UPPER AERODIGESTIVE TRACT","138","221"
"LB831BLC","BLADDER","138","221"
"LB996RCC","KIDNEY","111","178"
"LC1F","LUNG","77","123"
"LC1SQSF","LUNG","23","37"
"LC2ad","LUNG","138","221"
"LC41","BLOOD","77","123"
"LCLC103H","LUNG","122","195"
"LCLC103H","LUNG","24","38"
"LCLC97TM1","LUNG","98","157"
"LK2","LUNG","98","157"
"LN18","CENTRAL NERVOUS SYSTEM","22","35"
"LN229","CENTRAL NERVOUS SYSTEM","23","37"
"LN405","CENTRAL NERVOUS SYSTEM","98","157"
"LNCaPCloneFGC","OTHER","138","221"
"LOUCY","BLOOD","77","123"
"LOUNH91","LUNG","24","38"
"LOXIMVI","SKIN","159","254"
"LOXIMVI","SKIN","22","35"
"LP1","BLOOD","101","162"
"LP1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"LS1034","GI TRACT","138","221"
"LS123","GI TRACT","161","258"
"LS123","LARGE INTESTINE","23","37"
"LS411N","GI TRACT","159","254"
"LS411N","LARGE INTESTINE","21","34"
"LS513","GI TRACT","162","259"
"LS513","LARGE INTESTINE","24","38"
"LU134A","LUNG","129","206"
"LU135","LUNG","52","83"
"LU139","LUNG","125","200"
"LU165","LUNG","77","123"
"LU65","LUNG","125","200"
"LU99","LUNG","24","38"
"LU99A","LUNG","98","157"
"LUDLU1","LUNG","23","37"
"LXF289","LUNG","137","219"
"LoVo","GI TRACT","98","157"
"M059J","CENTRAL NERVOUS SYSTEM","121","194"
"M059J","M059J","23","37"
"M14","SKIN","98","157"
"MALME3M","SKIN","24","38"
"MB157","BREAST","24","38"
"MC116","BLOOD","152","243"
"MC116","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"MCAS","OVARY","24","38"
"MCCAR","BLOOD","77","123"
"MCF7","BREAST","121","194"
"MCF7","BREAST","23","37"
"MCIXC","CENTRAL NERVOUS SYSTEM","98","157"
"MDAMB134VI","BREAST","76","122"
"MDAMB157","BREAST","121","194"
"MDAMB157","BREAST","23","37"
"MDAMB175VII","BREAST","120","192"
"MDAMB175VII","BREAST","23","37"
"MDAMB231","BREAST","98","157"
"MDAMB361","BREAST","98","157"
"MDAMB415","BREAST","114","182"
"MDAMB415","BREAST","23","37"
"MDAMB435S","SKIN","24","38"
"MDAMB436","BREAST","23","37"
"MDAMB453","BREAST","122","195"
"MDAMB453","BREAST","24","38"
"MDAMB468","BREAST","61","98"
"MDAMB468","BREAST","24","38"
"ME180","UTERUS","89","142"
"MEC1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MEG01","BLOOD","153","245"
