"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"HOP62","5","0","6","10","12","37","38","10"
"HOP92","0","0","4","5","8","34","39","8"
"HOS","8","0","3","6","14","50","34","7"
"HPAC","0","0","1","3","3","17","0","0"
"HPAFII","0","0","4","5","11","42","49","8"
"HS229T","0","0","0","2","1","20","0","0"
"HS294T","0","0","1","1","2","20","0","0"
"Hs578T","1","0","5","3","5","26","39","18"
"HS578T","0","0","0","2","0","21","0","0"
"HS683","0","0","1","0","3","20","0","0"
"HS695T","0","0","0","3","2","19","0","0"
"HS729","0","0","1","2","1","17","0","0"
"HS739T","0","1","0","0","2","21","0","0"
"HS746T","0","0","1","2","1","19","0","0"
"HS766T","0","0","1","0","2","21","0","0"
"HS840T","0","0","1","2","1","20","0","0"
"HS852T","0","0","0","3","0","21","0","0"
"HS895T","0","0","0","1","3","19","0","0"
"HS936T","0","1","0","3","1","19","0","0"
"HS939T","0","0","0","4","1","18","0","0"
"HS944T","0","1","0","2","5","16","0","0"
"HSC2","5","0","5","5","12","49","35","11"
"HSC3","6","0","6","4","9","28","38","7"
"HSC4","6","0","1","4","8","21","22","11"
"HT","1","0","6","7","13","46","55","24"
"HT1080","6","0","7","8","13","47","30","9"
"HT1197","0","0","3","4","7","45","53","10"
"HT1376","1","1","1","5","8","56","39","11"
"HT144","9","0","13","8","20","50","52","10"
"HT29","4","0","4","10","8","44","39","13"
"HT3","3","0","2","3","12","22","39","16"
"HT55","0","0","2","1","3","25","35","28"
"HTCC3","2","0","3","9","7","30","42","5"
"HuCCT1","3","0","4","6","6","30","37","12"
"HUCCT1","0","0","1","2","0","21","0","0"
"HUH1","0","0","0","3","2","19","0","0"
"HuH7","1","0","6","5","5","34","33","14"
"HuO3N1","2","0","4","5","8","36","36","7"
"HuO9","2","0","3","3","7","25","27","7"
"HuPT3","1","0","4","5","6","20","51","11"
"HUPT3","0","0","1","1","2","20","0","0"
"HuPT4","3","0","3","7","8","29","38","10"
