"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"CAMA1","0.06","6","3","3","2","2","2","2"
"CAPAN1","7.20","5","3","3","0","0","0","0"
"CAPAN2","0.06","2","1","1","0","0","0","0"
"CAS1","43.59","1","0","0","0","0","0","0"
"CCFSTTG1","124.65","1","0","0","0","0","0","0"
"CCK81","0.24","9","5","4","4","0","0","0"
"CFPAC1","108.65","2","0","0","0","0","0","0"
"CGTHW1","0.50","5","3","3","2","1","1","1"
"CHL1","0.02","25","22","22","19","18","17","13"
"CHP212","28.45","1","0","0","0","0","0","0"
"CI1","8.00","1","0","0","0","0","0","0"
"CMK","1.01","2","1","0","0","0","0","0"
"COLO201","0.63","3","2","2","0","0","0","0"
"COLO205","0.01","6","5","5","4","3","3","3"
"COLO668","0.41","11","9","9","9","9","7","3"
"COLO679","0.39","8","5","5","4","3","3","3"
"COLO680N","117.05","3","2","1","0","0","0","0"
"COLO684","0.01","10","9","8","7","5","5","5"
"COLO699","0.34","1","0","0","0","0","0","0"
"COLO741","0.16","6","5","5","5","3","2","2"
"COLO792","0.04","23","18","18","15","14","13","13"
"COLO829","0.03","8","7","7","6","5","4","3"
"CORL23","1.35","10","5","3","1","0","0","0"
"CORL279","0.71","2","1","1","1","1","1","1"
"CORL88","230.38","2","0","0","0","0","0","0"
"COV504","0.35","1","0","0","0","0","0","0"
"CW2","0.04","105","104","104","99","95","90","86"
"DB","23.87","1","0","0","0","0","0","0"
"DBTRG05MG","2.65","8","4","2","1","1","1","1"
"DKMG","0.18","4","3","3","2","1","1","0"
"DMS114","0.98","8","6","3","2","2","2","2"
"DMS153","17.86","5","2","2","0","0","0","0"
"DMS273","0.06","4","3","3","3","2","2","2"
"DMS79","80.94","2","0","0","0","0","0","0"
"DOHH2","0.84","2","1","1","1","1","1","0"
"DU145","0.01","21","20","19","17","15","15","14"
"DU4475","0.01","7","5","4","3","3","3","3"
"DV90","0.82","10","5","5","1","1","1","0"
"EB2","0.00","NA","NA","NA","NA","NA","NA","NA"
"EBC1","0.02","1","0","0","0","0","0","0"
"ECC10","1.55","3","1","1","1","0","0","0"
"EFM19","0.03","5","3","3","3","3","2","2"
"EFO27","0.01","22","20","20","18","14","14","12"
"EM2","0.04","10","7","5","3","2","1","1"
"EN","8.00","17","0","0","0","0","0","0"
"EPLC272H","7.12","1","0","0","0","0","0","0"
"ES2","0.13","4","3","2","2","2","0","0"
"ESS1","0.08","18","15","13","11","10","8","7"
"EVSAT","0.14","8","6","6","5","5","4","4"
"FADU","7.99","1","0","0","0","0","0","0"
"FTC133","0.07","7","4","4","4","3","3","1"
"G361","0.01","7","6","6","6","5","5","4"
"G401","10.69","1","0","0","0","0","0","0"
"G402","7.26","1","0","0","0","0","0","0"
"GAMG","7.59","1","0","0","0","0","0","0"
"GCIY","0.02","5","4","4","4","2","2","2"
"GCT","0.01","18","17","17","17","17","17","15"
"GDM1","0.06","3","2","2","2","2","2","2"
"GI1","0.08","4","2","2","2","2","2","2"
"GMS10","0.07","6","3","2","2","2","2","1"
"GRANTA519","0.01","1","0","0","0","0","0","0"
"H4","0.00","NA","NA","NA","NA","NA","NA","NA"
"HARA","0.21","6","5","5","5","0","0","0"
"HCC1143","2.50","1","0","0","0","0","0","0"
"HCC1187","107.02","2","1","1","0","0","0","0"
"HCC1395","2.57","13","10","5","3","1","1","1"
"HCC1419","0.10","3","1","1","1","1","1","1"
"HCC15","8.00","2","0","0","0","0","0","0"
"HCC1569","8.00","6","5","4","0","0","0","0"
"HCC1599","152.99","1","0","0","0","0","0","0"
"HCC1806","18.99","1","0","0","0","0","0","0"
"HCC1954","0.05","7","6","6","4","3","3","3"
"HCC2157","0.42","8","7","7","7","7","4","2"
"HCC2218","0.03","7","6","5","5","5","5","4"
"HCC2935","0.02","1","0","0","0","0","0","0"
"HCC38","0.01","7","6","6","6","5","5","5"
"HCC4006","0.04","5","4","3","2","1","1","0"
"HCC70","8.00","1","0","0","0","0","0","0"
"HCC78","8.00","2","0","0","0","0","0","0"
"HCC827","0.04","4","3","3","1","1","1","0"
"HCT116","0.05","27","17","15","13","13","12","7"
"HCT15","0.24","35","23","22","18","14","12","11"
"HDLM2","0.32","5","4","4","3","3","2","1"
"HDMYZ","0.11","11","10","10","9","9","8","7"
"HEC151","0.02","6","5","5","3","3","3","3"
"HEC1A","8.00","9","0","0","0","0","0","0"
"HEC1B","0.31","5","4","4","4","0","0","0"
"HEC251","0.91","23","20","15","0","0","0","0"
"HEC265","0.04","10","8","8","8","8","8","0"
"HEC59","0.24","28","25","25","20","0","0","0"
"HEC6","0.03","13","12","12","10","10","10","10"
"HEL","0.02","4","3","3","2","2","2","1"
"HEPG2","0.02","4","3","3","3","3","3","3"
"HGC27","0.02","9","8","8","7","6","6","5"
"HH","1.18","4","3","3","2","1","1","1"
"HMC18","4.97","2","0","0","0","0","0","0"
"HPAFII","21.69","1","0","0","0","0","0","0"
"HS229T","0.14","1","0","0","0","0","0","0"
"HS578T","3.23","3","0","0","0","0","0","0"
"HS683","0.14","7","6","6","6","4","0","0"
"HS695T","7.26","2","0","0","0","0","0","0"
"HS729","8.00","2","0","0","0","0","0","0"
"HS739T","0.56","1","0","0","0","0","0","0"
"HS746T","0.10","4","3","3","3","3","0","0"
"HS766T","8.00","2","0","0","0","0","0","0"
"HS840T","8.00","1","0","0","0","0","0","0"
"HS936T","0.04","6","4","4","3","3","3","0"
"HSC2","0.10","9","8","8","8","7","4","4"
"HSC3","0.01","12","10","10","9","8","7","5"
"HSC4","12.11","1","0","0","0","0","0","0"
"HT","0.01","19","17","15","14","13","13","10"
"HT1080","0.26","3","2","2","2","1","1","1"
"HT1376","0.42","4","3","3","3","2","2","2"
"HT144","0.01","6","5","5","5","3","3","2"
"HT29","0.02","12","10","9","9","9","7","7"
"HT55","0.19","13","12","12","10","9","7","7"
"HUCCT1","0.09","4","3","3","2","2","0","0"
"IALM","4.26","10","4","4","3","0","0","0"
"IGR37","0.90","2","1","1","0","0","0","0"
"IGR39","8.00","2","0","0","0","0","0","0"
"IGROV1","0.14","30","25","19","16","10","8","7"
"IM95","0.04","4","3","3","3","3","3","0"
"IMR32","1.72","2","0","0","0","0","0","0"
"IPC298","0.15","3","2","2","2","2","1","1"
"ISHIKAWAHERAKLIO02ER","0.02","9","8","8","8","5","5","4"
"ISTMES1","39.70","1","0","0","0","0","0","0"
"ISTMES2","2.16","1","0","0","0","0","0","0"
"J82","0.14","11","8","8","8","6","3","2"
"JHH4","8.00","1","0","0","0","0","0","0"
"JHH5","0.02","4","2","2","0","0","0","0"
"JHH7","0.09","1","0","0","0","0","0","0"
"JHOS4","1.57","2","0","0","0","0","0","0"
"JHUEM2","0.05","2","0","0","0","0","0","0"
"JM1","0.01","1","0","0","0","0","0","0"
"JMSU1","0.04","5","4","4","4","3","3","0"
"JVM2","0.45","2","1","1","1","0","0","0"
"JVM3","1.23","7","5","4","2","2","1","1"
"K029AX","0.12","4","3","3","2","1","0","0"
"K562","0.23","14","12","12","11","10","5","5"
"KALS1","0.01","16","14","14","12","12","12","12"
"KARPAS299","0.63","3","2","1","0","0","0","0"
"KASUMI1","0.01","11","8","8","7","7","7","7"
"KASUMI2","0.03","1","0","0","0","0","0","0"
"KCL22","0.01","5","4","4","3","3","2","2"
"KE37","0.06","8","7","7","5","4","3","3"
"KELLY","2.18","4","2","0","0","0","0","0"
"KG1","2.67","1","0","0","0","0","0","0"
"KLE","0.16","5","4","3","1","1","1","1"
"KM12","0.01","30","28","28","26","25","23","18"
